case;nome;opA;opB;resultado;HEX5;HEX4;HEX3;HEX2;HEX1;HEX0;LEDR
0;C0  soma alinhada, sem normalizacao;s=0 e=7 f=90 (7.2e1);s=0 e=5 f=80 (1.6e1);s=0 e=7 f=B0 (8.8e1);11111111;10000011;01000000;11111000;11000000;10010010;0000000010
1;C1  carry-out apos soma (eg.4 do livro);s=0 e=3 f=C0 (6.0);s=0 e=3 f=A0 (5.0);s=0 e=4 f=B0 (1.1e1);11111111;10000011;01000000;10011001;11000000;10110000;0010010000
2;C2  subtracao com expoentes diferentes (eg.1);s=0 e=3 f=88 (4.25);s=1 e=4 f=C0 (-1.2e1);s=1 e=3 f=F8 (-7.75);10111111;10001110;00000000;10110000;11111001;10011001;0000010001
3;C3  normalizacao maxima: 7 deslocamentos (eg.2);s=0 e=9 f=80 (2.56e2);s=1 e=9 f=81 (-2.58e2);s=1 e=2 f=80 (-2.0);10111111;10000000;01000000;10100100;11111001;10010000;0001110000
4;C4  resultado pequeno demais -> zero (eg.3);s=0 e=3 f=80 (4.0);s=1 e=3 f=81 (-4.03125);s=0 e=0 f=00 (0.0);11111111;11000000;01000000;11000000;11111001;10110000;0101110000
5;C5  cancelamento exato, expoente alto  [D2];s=0 e=9 f=AA (3.4e2);s=1 e=9 f=AA (-3.4e2);s=0 e=0 f=00 (0.0);11111111;11000000;01000000;11000000;11111001;10010000;0101110000
6;C6  carry-out com expoente 15          [D3];s=0 e=F f=FF (3.264e4);s=0 e=F f=FF (3.264e4);s=0 e=F f=FF (3.264e4);11111111;10001110;00001110;10001110;11000000;10001110;1010000000
7;C7  alinhamento descarta todo o menor;s=0 e=F f=FF (3.264e4);s=0 e=0 f=80 (5.0e-1);s=0 e=F f=FF (3.264e4);11111111;10001110;00001110;10001110;11000000;11000000;0000001111
8;C8  zero + normalizado;s=0 e=0 f=00 (0.0);s=1 e=6 f=C0 (-4.8e1);s=1 e=6 f=C0 (-4.8e1);10111111;11000110;01000000;10000010;11111001;10000010;0000000110
9;C9  zero + zero;s=0 e=0 f=00 (0.0);s=0 e=0 f=00 (0.0);s=0 e=0 f=00 (0.0);11111111;11000000;01000000;11000000;11000000;11000000;0101110000
10;C10 cancelamento exato, expoente baixo [D1];s=0 e=5 f=AA (2.125e1);s=1 e=5 f=AA (-2.125e1);s=0 e=0 f=00 (0.0);11111111;11000000;01000000;11000000;11111001;10010010;0101110000
11;C11 subtracao com 1 deslocamento;s=0 e=4 f=C0 (1.2e1);s=1 e=4 f=80 (-8.0);s=0 e=3 f=80 (4.0);11111111;10000000;01000000;10110000;11111001;10011001;0000010000
12;C12 exibe o digito d nos displays;s=0 e=D f=D0 (6.656e3);s=0 e=0 f=00 (0.0);s=0 e=D f=D0 (6.656e3);11111111;10100001;01000000;10100001;11000000;11000000;0000001101
13;C13 exibe o digito E nos displays;s=0 e=E f=EE (1.5232e4);s=0 e=0 f=00 (0.0);s=0 e=E f=EE (1.5232e4);11111111;10000110;00000110;10000110;11000000;11000000;0000001110
14;N0  A nao normalizado (f=40);s=0 e=4 f=40 (4.0);s=1 e=3 f=E6 (-7.1875);s=1 e=3 f=E6 (-7.1875);10111111;10000110;00000010;10110000;01111001;10110000;0000000011
15;N1  B nao normalizado (f=7F);s=0 e=5 f=C0 (2.4e1);s=1 e=2 f=7F (-1.984375);s=0 e=5 f=C0 (2.4e1);11111111;11000110;01000000;10010010;11111001;00100100;0000000101
16;N2  os dois nao normalizados;s=1 e=6 f=01 (-2.5e-1);s=0 e=1 f=33 (3.984375e-1);s=0 e=0 f=00 (0.0);11111111;11000000;01000000;11000000;01000000;01111001;0101110000
17;N3  frac zero com expoente nao nulo;s=0 e=7 f=00 (0.0);s=0 e=3 f=80 (4.0);s=0 e=3 f=80 (4.0);11111111;10000000;01000000;10110000;01000000;10110000;0000000011
