case;nome;s1;e1;f1;s2;e2;f2;exp_diff;sum;leado;carry;zero;ovf;orig_s;orig_e;orig_f;new_s;new_e;new_f;divergem
0;C0  soma alinhada, sem normalizacao;0;7;90;0;5;80;2;176;0;0;0;0;0;7;B0;0;7;B0;0
1;C1  carry-out apos soma (eg.4 do livro);0;3;C0;0;3;A0;0;352;1;1;0;0;0;4;B0;0;4;B0;0
2;C2  subtracao com expoentes diferentes (eg.1);0;3;88;1;4;C0;1;124;1;0;0;0;1;3;F8;1;3;F8;0
3;C3  normalizacao maxima: 7 deslocamentos (eg.2);0;9;80;1;9;81;0;1;7;0;0;0;1;2;80;1;2;80;0
4;C4  resultado pequeno demais -> zero (eg.3);0;3;80;1;3;81;0;1;7;0;0;0;1;0;00;0;0;00;1
5;C5  cancelamento exato, expoente alto  [D2];0;9;AA;1;9;AA;0;0;7;0;1;0;1;2;00;0;0;00;1
6;C6  carry-out com expoente 15          [D3];0;F;FF;0;F;FF;0;510;0;1;0;1;0;0;FF;0;F;FF;1
7;C7  alinhamento descarta todo o menor;0;F;FF;0;0;80;F;255;0;0;0;0;0;F;FF;0;F;FF;0
8;C8  zero + normalizado;0;0;00;1;6;C0;6;192;0;0;0;0;1;6;C0;1;6;C0;0
9;C9  zero + zero;0;0;00;0;0;00;0;0;7;0;1;0;0;0;00;0;0;00;0
10;C10 cancelamento exato, expoente baixo [D1];0;5;AA;1;5;AA;0;0;7;0;1;0;1;0;00;0;0;00;1
11;C11 subtracao com 1 deslocamento;0;4;C0;1;4;80;0;64;1;0;0;0;0;3;80;0;3;80;0
12;C12 exibe o digito d nos displays;0;D;D0;0;0;00;D;208;0;0;0;0;0;D;D0;0;D;D0;0
13;C13 exibe o digito E nos displays;0;E;EE;0;0;00;E;238;0;0;0;0;0;E;EE;0;E;EE;0
